PlayerID,PlayerName,SeasonYear,Team,Role,ModelVersion,MappingVersion,G,GS,IP,BF,Confidence,IncompleteSeason,AsOfDate,ControlScore,HRSuppressionScore,StaminaScore,StuffScore,ControlRatingRaw,HRSuppressionRatingRaw,StaminaRatingRaw,StuffRatingRaw,ControlRatingDisplay,HRSuppressionRatingDisplay,StaminaRatingDisplay,StuffRatingDisplay
1304,廖于誠,2006,兄弟,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,12,7,37.3333333333,169,Provisional,False,2026-08-11,-3.50117853693,0.832642257088,-0.446685913947,-0.557607036937,35.7102102914,71.2660306183,61.5160971192,60.5737590443,36,71,62,61
1304,廖于誠,2007,兄弟,SP,B_Role-v0.1,B_QuadraticTanh-v1,22,19,119.333333333,522,Regular,False,2026-08-11,-0.700679990729,1.57311793647,-0.202185920874,-1.04496288011,59.3184789399,77.1325612679,63.4879722559,56.1441382809,59,77,63,56
1304,廖于誠,2008,兄弟,SP,B_Role-v0.1,B_QuadraticTanh-v1,21,21,132.666666667,573,Qualified,False,2026-08-11,-2.07935303788,1.09060622246,0.534463627479,0.683609946856,46.1858134867,73.2918026084,68.9663616641,70.1101490532,46,73,69,70
1304,廖于誠,2009,兄弟,SP,B_Role-v0.1,B_QuadraticTanh-v1,22,22,130.666666667,579,Qualified,False,2026-08-11,-2.91151484774,0.937907294303,0.903571388431,-1.503796249,39.2991565473,72.0892468309,71.8201607529,51.7075217302,39,72,72,52
1346,剛雷,2006,興農,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,40,27,210.333333333,860,Regular,False,2026-08-11,1.37777992294,-0.933087535969,3.14170036735,0.6578893502,75.5729743652,57.1961761544,89.2112227401,69.911923141,76,57,89,70
1346,剛雷,2007,興農,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,45,22,177,748,Regular,False,2026-08-11,1.2655411197,2.2491634723,2.12876142076,0.074350304209,74.6790645759,82.4985960585,81.5526161978,65.5377841714,75,82,82,66
1347,黃俊中,2006,Lamigo,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,35,3,56.3333333333,240,Regular,False,2026-08-11,0.16443471676,0.774728611616,-0.90442358534,0.662978375896,66.1958158112,70.8154353626,57.4628393871,69.9511126124,66,71,57,70
1347,黃俊中,2007,Lamigo,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,41,7,83.6666666667,354,Regular,False,2026-08-11,0.316498706714,0.377856383213,-0.15847124632,1.85565585074,67.3218042351,67.7812653219,63.8242911596,79.3875747547,67,68,64,79
1347,黃俊中,2008,Lamigo,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,23,6,46,226,Regular,False,2026-08-11,-1.41873524182,0.113300618597,-1.00321857562,-0.873414525292,52.5379026369,65.8214498568,56.5386712583,57.7498758652,53,66,57,58
1348,張賢智,2006,誠泰,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,34,24,165.666666667,704,Regular,False,2026-08-11,0.872198745889,-1.15985404831,2.29788455007,-0.171661570806,71.5747675206,55.047730777,82.8794664085,63.7233485565,72,55,83,64
