Model,Scenario,PA,BBRate,HBPRate,KRate,HRRate,AVG,OBP,SLG,OPS
hierarchical,Neutral,100000,0.075,0.013105999999999994,0.17133299999999999,0.013373999999999999,0.2546842067170087,0.3203509999999999,0.3503685735403456,0.6707195735403455
hierarchical,Power50,100000,0.075,0.013105999999999994,0.17133299999999999,0.0067614160785393175,0.24961529751111763,0.31572869210860305,0.3152517115269868,0.6309804036355898
hierarchical,Power80,100000,0.075,0.013105999999999994,0.17133299999999999,0.028995778479407035,0.26665915897276266,0.3312708871123084,0.4239414014060163,0.7552122885183248
hierarchical,Power95,100000,0.075,0.013105999999999994,0.17133299999999999,0.06499621949232619,0.2942554766957468,0.3564358036659913,0.5801672023304513,0.9366030059964425
hierarchical,Power100,100000,0.075,0.013105999999999994,0.17133299999999999,0.09191962766415936,0.31489374959437233,0.3752557208926105,0.6927966220455413,1.0680523429381519
hierarchical,Power105,100000,0.075,0.013105999999999994,0.17133299999999999,0.14818175800664965,0.3580217663913369,0.41458390064166173,0.9233692559462535,1.3379531565879152
hierarchical,Contact95,100000,0.08560675066268575,0.014959494322468788,0.05414014331472233,0.015265395778170125,0.3722360036662265,0.4353678715143884,0.49965570982977264,0.935023581344161
hierarchical,Eye95,100000,0.22558849703624165,0.010972364494965421,0.14344026598625903,0.01119673453041871,0.25468420671700875,0.4309967528888482,0.3503685735403456,0.7813653264291938
hierarchical,Stuff95,100000,0.054195544144808865,0.009470490687491529,0.4011992136020489,0.009664149431902318,0.17923297481658457,0.2314879568311155,0.2465704588728453,0.4780584157039608
hierarchical,Control95,100000,0.021049098354449795,0.006685359386134377,0.18267602610822364,0.01425941980337345,0.2546842067170088,0.27535513608920587,0.35036857354034573,0.6257237096295516
hierarchical,HRSuppression95,100000,0.075,0.013105999999999994,0.17133299999999999,0.0029257904718182964,0.24667507956013465,0.3130475250004094,0.30872896206206624,0.6217764870624756
hierarchical,Power100_vs_HRSuppression100,100000,0.075,0.013105999999999994,0.17133299999999999,0.01547598425882433,0.2562954932408158,0.3218203225133404,0.3916076660323316,0.713427988545672
hierarchical,Contact100_vs_Stuff100,100000,0.07664667259616492,0.01339375054727116,0.15313909013005061,0.01366763465734813,0.34651258230838455,0.40535286591624897,0.4629568058703231,0.8683096717865721
flat-log-odds,Neutral,100000,0.07500000000000001,0.013106,0.17133300000000004,0.013374000000000006,0.2546842067170088,0.320351,0.35036857354034573,0.6707195735403457
flat-log-odds,Power50,100000,0.07613161746476277,0.013303746379909078,0.17391811220120268,0.006801584541529187,0.24233417927317744,0.31009629762255264,0.30764723557583956,0.6177435331983923
flat-log-odds,Power80,100000,0.07294392172294391,0.012746707174678705,0.166636012540762,0.028820002332121734,0.2770315311646531,0.33898315393230527,0.4350487775833886,0.7740319315156938
flat-log-odds,Power95,100000,0.0691076224177473,0.012076326658759948,0.15787221695599865,0.06446617326205306,0.31841378664943815,0.3737476470853396,0.6062486013571762,0.9799962484425158
flat-log-odds,Power100,100000,0.06651718358243058,0.01162365610708447,0.15195451486304773,0.09139497239289482,0.34612806740979024,0.3972221692717952,0.7269359894100097,1.124158158681805
flat-log-odds,Power105,100000,0.06137138313883751,0.010724444632234724,0.14019924249768595,0.14884891227139874,0.40064214348437344,0.44385334428096307,0.9726570455398843,1.4165103898208473
flat-log-odds,Contact95,100000,0.08439471003037612,0.014747694262108124,0.05337361435493187,0.015049264692616674,0.4141374364590135,0.4722212595934252,0.5498374719515491,1.0220587315449743
